Sample_name,replicate,timepoint,moisture,Plot,raw_peak_area,std_corr_factor,adjusted_peak_area,CO2_ppm,hi-h0,CO2_ppm(i-0),CO2_ppm_h
0h_100%_P03,na,0,100%,3,1001997.2,1.067,939100.1,128,0,128,0
0h_100%_P08,rA,0,100%,8,1077037.3,1.058,1018355.5,146,0,146,0
0h_100%_P14,rB,0,100%,14,851654.6,1.048,812436.5,98,0,98,0
0h_100%_P16,rC,0,100%,16,998650.6,1.034,966181.3,134,0,134,0
0h_50%_P04,na,0,50%,4,954964.7,1.028,928690.8,125,0,125,0
0h_50%_P09,rA,0,50%,9,838020.1,1.023,819197.6,100,0,100,0
0h_50%_P10,rB,0,50%,10,859024.2,1.018,844115.2,106,0,106,0
0h_50%_P13,rC,0,50%,13,959009.5,1.012,947312.4,130,0,130,0
3h_100%_P03,na,3,100%,3,1168352.6,1.004,1164162.5,180,3,52,17.33333333
3h_100%_P08,rA,3,100%,8,1148059.2,1,1147869.5,177,3,31,10.33333333
3h_100%_P14,rB,3,100%,14,1186247.9,0.997,1190138.1,186,3,88,29.33333333
3h_100%_P16,rC,3,100%,16,1309420.9,0.993,1318256.6,216,3,82,27.33333333
3h_50%_P04,na,3,50%,4,1084791.5,0.99,1095900.1,164,3,39,13
3h_50%_P09,rA,3,50%,9,1741906.9,1,1741369.2,315,3,215,71.66666667
3h_50%_P10,rB,3,50%,10,1352054.1,1.001,1351219.6,224,3,118,39.33333333
3h_50%_P13,rC,3,50%,13,3092988.8,1.001,3090126.1,630,3,500,166.6666667
24h_100%_P03,na,24,100%,3,2481435.1,1.001,2478373.8,487,21,307,14.61904762
24h_100%_P08,rA,24,100%,8,2677476.1,1.002,2673348.5,533,21,356,16.95238095
24h_100%_P14,rB,24,100%,14,2283279.2,1.002,2278354.3,441,21,255,12.14285714
24h_100%_P16,rC,24,100%,16,3173285.9,1.002,3165466,648,21,432,20.57142857
24h_50%_P04,na,24,50%,4,2394244.3,1.003,2387608.7,466,21,302,14.38095238
24h_50%_P09,rA,24,50%,9,2632676,1.003,2624571.4,522,21,207,9.857142857
24h_50%_P10,rB,24,50%,10,2893542.1,1.003,2883746.7,582,21,358,17.04761905
24h_50%_P13,rC,24,50%,13,3267385.3,1.011,3232148.6,664,21,34,1.619047619
48h_100%_P03,na,48,100%,3,3602027.8,1.018,3537996.1,735,24,248,10.33333333
48h_100%_P08,rA,48,100%,8,3491949.5,1.025,3405800.9,704,24,171,7.125
48h_100%_P14,rB,48,100%,14,3477079,1.032,3367660.3,695,24,254,10.58333333
48h_100%_P16,rC,48,100%,16,4697788.3,1.04,4518462.4,965,24,317,13.20833333
48h_50%_P04,na,48,50%,4,3470215.8,1.041,3334872,688,24,222,9.25
48h_50%_P09,rA,48,50%,9,3749707.7,1.028,3647626.2,761,24,239,9.958333333
48h_50%_P10,rB,48,50%,10,4269050.2,1.022,4178435,885,24,303,12.625
48h_50%_P13,rC,48,50%,13,5065421.2,1.015,4988660.4,1075,24,411,17.125
72h_100%_P03,na,72,100%,3,4792204.7,1.009,4749046.7,1019,48,284,5.916666667
72h_100%_P08,rA,72,100%,8,4555297.5,1.009,4514273,964,48,260,5.416666667
72h_100%_P14,rB,72,100%,14,4697096.4,1.009,4654794.9,996,48,301,6.270833333
72h_100%_P16,rC,72,100%,16,7559817.1,1.001,7549355.7,1685,48,720,15
72h_50%_P04,na,72,50%,4,4635315.9,1.003,4622504.8,1005,48,317,6.604166667
72h_50%_P09,rA,72,50%,9,5307573.5,1.004,5285600.2,1159,48,398,8.291666667
72h_50%_P10,rB,72,50%,10,5908953.4,1.006,5876381,1297,48,412,8.583333333
72h_50%_P13,rC,72,50%,13,6954957.8,1.007,6907100.8,1536,48,461,9.604166667
168h_100%_P03,na,168,100%,3,8180523.3,1.008,8116640,1817,96,798,8.3125
168h_100%_P08,rA,168,100%,8,7835627.2,1.007,7777861.8,1739,96,775,8.072916667
168h_100%_P14,rB,168,100%,14,8895325.2,1.007,8833638.6,1984,96,988,10.29166667
168h_100%_P16,rC,168,100%,16,11475483.1,1.007,11400927.9,2581,96,896,9.333333333
168h_50%_P04,na,168,50%,4,8022788.8,1.006,7974181,1784,96,779,8.114583333
168h_50%_P09,rA,168,50%,9,8541919.7,1.006,8493913,1905,96,746,7.770833333
168h_50%_P10,rB,168,50%,10,11087522.4,1.006,11025209.1,2493,96,1196,12.45833333
168h_50%_P13,rC,168,50%,13,12917354.2,1.006,12844757,2916,96,1380,14.375
Blank_24h,na,24,na,na,535186,1.076,497233.3,25,na,,na
Blank_48h,na,48,na,na,565110.6,1.032,547759.2,37,na,,na
Blank_72h,na,72,na,na,555313.9,1.086,511489.7,28,na,,na