Sample_name,Type,Timepoint,Moisture
ExtBlkDay1_39_1_11419,ExtBlk,na,na
SPEBlkDay2_31_1_11409,SPEBlk,na,na
ExtBlkDay2_29_1_11407,ExtBlk,na,na
SPEBlkDay1_2_1_11372,SPEBlk,na,na
MEOH2_53_1_11382,MeOH,na,na
MEOH1_53_1_11370,MeOH,na,na
MeOHCheck_53_1_11388,MeOH,na,na
3h100pctP14a_36_1_11414,na,3,100
0h50pctP13b_25_1_11401,na,0,50
SRFA1_54_1_11369,SRFA,na,na
3h100pctP16a_24_1_11400,na,3,100
SRFA3_54_1_11405,SRFA,na,na
3h50pctP13a_9_1_11379,na,3,50
72h50pctP10a_7_1_11377,na,72,50
0h50pctP10b_40_1_11420,na,0,50
0h100pctP16b_8_1_11378,na,0,100
3h50pctP10a_1_1_11371,na,3,50
24h50pctP13a_3_1_11373,na,24,50
72h50pctP13a_28_1_11404,na,72,50
0h100pctP08a_26_1_11402,na,0,100
0h50pctP09b_15_1_11389,na,0,50
24h100pctP08a_21_1_11397,na,24,100
72h100pctP14a_12_1_11384,na,72,100
168h50pctP13a_6_1_11376,na,168,50
24h100pctP14a_33_1_11411,na,24,100
48h100pctP14a_27_1_11403,na,48,100
48h50pctP13a_35_1_11413,na,48,50
24h50pctP09a_22_1_11398,na,24,50
48h50pctP09a_14_1_11386,na,48,50
168h100pctP14a_10_1_11380,na,168,100
48h50pctP10a_20_1_11396,na,48,50
48h100pctP16a_32_1_11410,na,48,100
SRFA2_54_1_11381,SRFA,na,na
72h100pctP16a_11_1_11383,na,72,100
72h50pctP09a_23_1_11399,na,72,50
SRFACheck_54_1_11387,SRFA,na,na
0h100pctP14a_4_1_11374,na,0,100
3h100pctP08a_38_1_11416,na,3,100
24h100pctP16a_5_1_11375,na,24,100
SRFA5_54_1_11421,SRFA,na,
SRFA4_54_1_11417,SRFA,na,
3h50pctP09a_19_1_11395,na,3,50
48h100pctP08a_13_1_11385,na,48,100
24h50pctP10a_30_1_11408,na,24,50
168h100pctP16a_34_1_11412,na,168,100
72h100pctP08a_16_1_11390,na,72,100
168h50pctP10a_37_1_11415,na,168,50
SRFACheck2_54_1_11393,SRFA,na,na
168h50pctP09a_18_1_11392,na,168,50
168h100pctP08a_17_1_11391,na,168,100
168h100pctP08a-DI_x_x_000001,na,168,100
48h100pctP14a-DI_x_x_000001,na,48,100